File,RelPath,Severity,Encoding,Arabic Chars,AR Ratio,Size KB,Issues
Ar_Distrib_Board.htm,Ar_appr_docs\Ar_ad_subst\Ar_Distrib_Board.htm,ERROR,windows-1256,0,0%,11,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
Ar_ad_Batteries.htm,Ar_appr_docs\Ar_ad_subst\Ar_ad_Batteries.htm,ERROR,windows-1256,0,0%,21,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
Ar_ad_Busbars.htm,Ar_appr_docs\Ar_ad_subst\Ar_ad_Busbars.htm,ERROR,windows-1256,0,0%,13,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
Ar_ad_CBs.htm,Ar_appr_docs\Ar_ad_subst\Ar_ad_CBs.htm,ERROR,windows-1256,0,0%,43,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
Ar_ad_CT_PT_LA.htm,Ar_appr_docs\Ar_ad_subst\Ar_ad_CT_PT_LA.htm,ERROR,windows-1256,0,0%,12,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
Ar_ad_DS_ES.htm,Ar_appr_docs\Ar_ad_subst\Ar_ad_DS_ES.htm,ERROR,windows-1256,0,0%,20,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
Ar_ad_TB-SS+PS.htm,Ar_appr_docs\Ar_ad_subst\Ar_ad_TB-SS+PS.htm,ERROR,windows-1256,0,0%,11,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
Ar_ad_TD-SS+PS.htm,Ar_appr_docs\Ar_ad_subst\Ar_ad_TD-SS+PS.htm,ERROR,windows-1256,0,0%,13,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
Ar_ad_Trafo.htm,Ar_appr_docs\Ar_ad_subst\Ar_ad_Trafo.htm,ERROR,windows-1256,0,0%,26,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
Ar_ad_compressors.htm,Ar_appr_docs\Ar_ad_subst\Ar_ad_compressors.htm,ERROR,windows-1256,0,0%,11,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
Ar_ad_condensers.htm,Ar_appr_docs\Ar_ad_subst\Ar_ad_condensers.htm,ERROR,windows-1256,0,0%,11,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
Ar_ad_tap_changers.htm,Ar_appr_docs\Ar_ad_subst\Ar_ad_tap_changers.htm,ERROR,windows-1256,0,0%,13,"[WARN] <html> tag missing dir=""rtl"" | [ERROR] Very little Arabic content: 0 chars — file may be empty/untranslated"
